Date,Open,High,Low,Close
2020-02-28,257.26,278.41,256.37,273.36
2020-02-27,281.1,286.0,272.96,273.52
2020-02-26,286.53,297.88,286.5,292.65
2020-02-25,300.95,302.53,286.13,288.08
2020-02-24,297.26,304.18,289.23,298.18
2020-02-21,318.62,320.45,310.5,313.05
2020-02-20,322.63,324.65,318.21,320.3
2020-02-19,320.0,324.57,320.0,323.62
2020-02-18,315.36,319.75,314.61,319.0
2020-02-14,324.74,325.98,322.85,324.95
2020-02-13,324.19,326.22,323.35,324.87
2020-02-12,321.47,327.22,321.47,327.2
2020-02-11,323.6,323.9,318.71,319.61
2020-02-10,314.18,321.55,313.85,321.55
2020-02-07,322.37,323.4,318.0,320.03
2020-02-06,322.57,325.22,320.2648,325.21
2020-02-05,323.52,324.76,318.95,321.45
2020-02-04,315.31,319.64,313.6345,318.85
2020-02-03,304.3,313.49,302.22,308.66
2020-01-31,320.93,322.68,308.29,309.51
2020-01-30,320.544,324.09,318.75,323.87
2020-01-29,324.45,327.85,321.38,324.34
2020-01-28,312.6,318.4,312.19,317.69
2020-01-27,310.06,311.77,304.88,308.95
2020-01-24,320.25,323.33,317.5188,318.31
2020-01-23,317.92,319.56,315.65,319.23
2020-01-22,318.58,319.99,317.31,317.7
2020-01-21,317.19,319.02,316.0,316.57
2020-01-17,316.27,318.74,315.0,318.73
2020-01-16,313.59,315.7,312.09,315.24
2020-01-15,311.85,315.5,309.55,311.34
2020-01-14,316.7,317.57,312.17,312.68
2020-01-13,311.64,317.07,311.15,316.96
2020-01-10,310.6,312.67,308.25,310.33
2020-01-09,307.235,310.43,306.2,309.63
2020-01-08,297.16,304.4399,297.156,303.19
2020-01-07,299.84,300.9,297.48,298.39
2020-01-06,293.79,299.96,292.75,299.8
2020-01-03,297.15,300.58,296.5,297.43
2020-01-02,296.24,300.6,295.19,300.35
2019-12-31,289.93,293.68,289.52,293.65
2019-12-30,289.46,292.69,285.22,291.52
2019-12-27,291.12,293.97,288.12,289.8
2019-12-26,284.82,289.98,284.7,289.91
2019-12-24,284.69,284.89,282.9197,284.27
2019-12-23,280.53,284.25,280.3735,284.0
2019-12-20,282.23,282.65,278.56,279.44
2019-12-19,279.5,281.18,278.95,280.02
2019-12-18,279.8,281.9,279.12,279.74
2019-12-17,279.57,281.77,278.8,280.41
2019-12-16,277.0,280.79,276.98,279.86
2019-12-13,271.46,275.3,270.93,275.15
2019-12-12,267.78,272.5599,267.321,271.46
2019-12-11,268.81,271.1,268.5,270.77
2019-12-10,268.6,270.07,265.86,268.48
2019-12-09,270.0,270.8,264.91,266.92
2019-12-06,267.48,271.0,267.3,270.71
2019-12-05,263.79,265.89,262.73,265.58
2019-12-04,261.07,263.31,260.68,261.74
2019-12-03,258.31,259.53,256.29,259.45
2019-12-02,267.27,268.25,263.45,264.16
2019-11-29,266.6,268.0,265.9,267.25
2019-11-27,265.58,267.98,265.31,267.84
2019-11-26,266.94,267.16,262.5,264.29
2019-11-25,262.71,266.44,262.52,266.37
2019-11-22,262.59,263.18,260.84,261.78
2019-11-21,263.69,264.005,261.18,262.01
2019-11-20,265.54,266.083,260.4,263.19
2019-11-19,267.9,268.0,265.3926,266.29
2019-11-18,265.8,267.43,264.23,267.1
2019-11-15,263.68,265.78,263.01,265.76
2019-11-14,263.75,264.88,262.1,262.64
2019-11-13,261.13,264.78,261.07,264.47
2019-11-12,261.55,262.79,260.92,261.96
2019-11-11,258.3,262.47,258.28,262.2
2019-11-08,258.69,260.44,256.85,260.14
2019-11-07,258.74,260.35,258.11,259.43
2019-11-06,256.77,257.49,255.365,257.24
2019-11-05,257.05,258.19,256.32,257.13
2019-11-04,257.33,257.845,255.38,257.5
2019-11-01,249.54,255.93,249.16,255.82
2019-10-31,247.24,249.17,237.26,248.76
2019-10-30,244.76,245.3,241.21,243.26
2019-10-29,248.97,249.75,242.57,243.29
2019-10-28,247.42,249.25,246.72,249.05
2019-10-25,243.16,246.73,242.88,246.58
2019-10-24,244.51,244.8,241.805,243.58
2019-10-23,242.1,243.24,241.22,243.18
2019-10-22,241.16,242.2,239.6218,239.96
2019-10-21,237.52,240.99,237.32,240.51
2019-10-18,234.59,237.58,234.29,236.41
2019-10-17,235.09,236.15,233.52,235.28
2019-10-16,233.37,235.24,233.2,234.37
2019-10-15,236.39,237.65,234.88,235.32
2019-10-14,234.9,238.1342,234.6701,235.87
2019-10-11,232.95,237.64,232.3075,236.21
2019-10-10,227.93,230.44,227.3,230.09
2019-10-09,227.03,227.79,225.64,227.03
2019-10-08,225.82,228.06,224.33,224.4
2019-10-07,226.27,229.93,225.84,227.06
2019-10-04,225.64,227.49,223.89,227.01
2019-10-03,218.43,220.96,215.132,220.82
2019-10-02,223.06,223.58,217.93,218.96
2019-10-01,225.07,228.22,224.2,224.59
2019-09-30,220.9,224.58,220.79,223.97
2019-09-27,220.54,220.96,217.2814,218.82
2019-09-26,220.0,220.94,218.83,219.89
2019-09-25,218.55,221.5,217.1402,221.03
2019-09-24,221.03,222.49,217.19,217.68
2019-09-23,218.95,219.84,217.65,218.72
2019-09-20,221.38,222.56,217.473,217.73
2019-09-19,222.01,223.76,220.37,220.96
2019-09-18,221.06,222.85,219.44,222.77
